surveyId,predictions
642,6962 963 2885 10073 8807 1964 11195 3958 10684 843 5114 7760 2025 1889 9669 3177 254 4397
1792,3419 262 7571 5301 3744 8340 5483 838 9555 3014 7493 462 7588 2492 5543 8806 3811 3451
3256,4842 4207 6905 96 10155 4790 5055 6352 8428 7532 3173 4109 7095 8284 2638 7706 6497 6475
3855,4590 10404 2184 3211 6407 8428 11012 6053 4 9256 7532 3429 2587 7706 96 9040 8714 2762
4889,10255 10600 7978 6999 10940 651 1539 5189 6962 7706 7613 10223 661 9341 2961 6989 8428 6079
5884,6962 10600 2025 963 7760 843 1889 53 7999 7807 7957 8151 5189 6999 8807 8428 9669 6331
6955,10231 2145 9146 7926 8412 6321 8542 8580 2373 2891 1162 4924 10143 1404 7241 10281 9787 8420
8956,6962 10600 2025 843 963 1889 7957 10317 5189 7807 8428 10255 7760 6999 7999 4483 53 8151
9037,11140 423 4628 7121 9376 6643 433 6746 9816 11195 10073 6377 822 2891 10927 3123 6915 3318
9537,963 4238 9647 6788 2474 5335 10247 5542 10385 8424 4609 8807 10315 9190 8208 53 694 146
11594,254 6310 540 3275 9072 340 7880 4638 4492 9816 4499 9707 7122 8439 10474 7121 1964 6950
11849,7199 9572 10073 9119 11193 8391 3125 11159 476 7212 3464 9458 1912 2634 8921 6039 2421 2702
12019,254 540 9816 11195 6643 10317 9072 8124 6915 4499 2885 9465 9580 9376 3123 10274 1964 8439
12436,10317 7817 10763 540 11140 10255 9376 9465 254 6915 6962 2211 6079 1038 9816 10940 3123 8818
12705,10112 7450 4397 5040 10940 5980 3214 1018 2101 3123 8818 1761 3352 11140 5901 4027 3375 9341
12842,96 8428 9256 5068 6407 10317 9024 6497 7552 3722 8714 10600 423 1964 5804 2647 10155 9376
13429,4659 9877 2715 11240 5203 7655 1300 1531 11125 1000 29 9820 10347 5876 1922 11222 4773 2173
15914,6925 5412 8208 2474 146 6788 8424 4238 9190 1254 9647 6689 7706 5335 694 1539 10315 9636
16550,6079 3361 1180 540 254 10223 10113 1387 581 10317 8747 9024 3722 3275 10474 10255 6491 6989
18511,3599 1314 9107 1718 3438 7540 3958 812 9353 8921 11207 8339 6707 11195 5882 5749 9714 8885
18734,3438 3599 1314 8885 11207 7540 3109 8921 11195 9714 9107 5882 8339 74 812 3958 11140 10686
19026,6079 6491 6848 10113 10223 9072 3738 581 822 10218 4638 5166 254 2922 1180 6310 1716 8639
21203,6079 10317 6989 10255 10600 6962 10223 1539 5900 6331 7817 254 540 2025 5386 10763 4483 7760
21641,10255 10020 7817 6079 3879 10763 2163 5018 3835 1539 10317 10600 5892 1038 10082 2753 2211 5189
21906,5412 7706 4238 1254 3043 6925 9190 8208 9873 10909 1539 1497 5969 11120 1276 9636 146 51
22102,8439 254 4638 4492 340 9072 540 10024 6310 643 8284 822 9245 11195 9707 7122 9816 9207
23717,10073 4397 1018 11140 8818 6915 5398 8632 4628 2885 9636 7536 2891 8746 9465 9710 10899 6707
24689,254 6310 1964 4638 4499 9072 540 3275 4492 8639 7808 7122 2262 9024 4397 581 1715 8439
24920,53 2025 963 5551 8807 544 3792 7640 843 9669 7999 1707 5542 2398 976 7666 8428 8573
25437,2474 8208 5412 6925 10247 7536 3020 10909 9647 8151 146 4871 6684 10315 3935 8424 180 10385
26098,9877 2926 2173 10347 1300 5203 5799 5876 245 3466 2075 3837 1531 4659 5980 669 2243 5868
26651,540 10317 9341 254 9376 4499 8746 9465 10600 6999 9024 10255 4397 8818 9816 1288 6915 11140
27551,4499 10317 4397 540 8818 11140 10073 890 10600 9024 6962 9341 7739 8746 254 9881 6999 7817
27567,1221 4406 7182 8798 4621 6913 9572 5537 6006 8140 10909 9458 9743 4029 1062 6723 3376 3130
30973,8818 10317 11140 10073 4499 4397 540 8746 6962 10600 9881 890 9341 1018 8208 10255 2211 3722
31970,6497 5068 6254 5055 2630 8428 96 7706 8992 2951 4157 4109 6877 9256 2184 4997 590 4590
32178,540 6643 6746 9816 4638 254 9376 10927 340 7121 11195 9245 4397 1964 9207 9072 2922 1951
32282,5486 9524 3451 4734 380 11012 8806 2799 2933 423 8782 7918 7972 9024 5804 2184 6555 1086
32525,11140 8818 10317 4499 4397 8746 540 9341 890 10073 3722 2211 9881 9024 3037 1086 10255 6119
33904,963 5189 10600 7999 7957 5114 2025 7807 8807 1964 791 53 6962 7760 7942 7566 254 843
33921,6643 6746 4541 5285 9376 6903 4397 5363 3375 5242 4748 1387 4015 2908 9890 10637 7315 6728
34778,5412 8208 2474 1276 7862 11013 3043 6685 1497 9873 5173 1254 6384 6226 146 8424 9261 9190
36216,254 9816 540 6915 9376 9580 6643 1964 2101 340 11195 9465 8124 1170 4499 6746 4854 6551
36737,10143 5543 2145 10231 10382 7241 2373 9555 5901 2891 8542 1051 9795 6321 9158 5185 8660 4404
36869,5557 1092 1254 7588 6603 8473 3744 10904 6002 1497 8340 3451 838 8316 5301 6759 146 5483
38125,254 1964 2885 6310 11195 581 3958 7760 540 9816 9707 1910 3275 10223 6962 6491 6643 843
38812,2474 8208 6925 8424 694 6684 10315 7788 9647 4238 9190 4609 10247 146 5335 2747 7536 7862
39525,963 10600 6962 7999 5114 5189 7807 7760 2025 10073 8807 7957 1964 843 8512 7942 791 6788
39795,7121 1086 9376 10317 11054 10073 11140 9465 8818 3722 4397 540 544 8807 423 9816 5383 5400
40447,10600 10317 6999 9341 4499 8746 10255 8818 6962 540 2211 7817 4397 11140 3067 661 2961 9024
40597,254 540 6310 9816 3275 4499 1964 2955 2885 340 9072 2101 4397 9005 11195 7617 4492 9707
40845,10255 10600 10940 6962 9341 6999 10317 7978 8746 5189 1539 7817 5900 2211 651 2025 540 9024
41048,5557 1497 4748 8473 10073 1015 9714 7588 3639 1818 3451 8746 8983 1086 6002 11140 5764 6603
41209,963 6962 10600 10073 2025 7999 8807 7760 5189 7807 5114 6788 843 7957 7942 10684 1889 1964
41369,4659 4130 11125 9341 9877 9513 2173 9820 982 2243 8661 1176 2715 5876 2075 1300 8785 3837
41476,963 8512 8807 6788 10896 5114 1964 2398 5745 1264 6962 9669 10073 1888 976 7999 7942 2142
41725,10112 7450 4397 3123 3214 5980 6491 6746 2101 5040 4027 3352 3096 5739 3375 5285 9890 6643
42000,2243 2926 9877 2173 8661 5203 1247 11222 2715 1531 4659 5876 2364 9820 7655 5868 11125 10347
42935,544 843 2025 963 7706 6788 6171 7666 53 2885 9647 9669 5335 4238 5542 10600 10073 6574
44791,10255 10940 10600 7978 9024 651 10317 10223 9341 540 5386 6079 3497 6962 7613 6999 2587 3838
46094,2474 5412 10909 146 694 8208 10315 9873 7706 9636 6684 7536 1497 2386 6925 10247 4871 8424
47008,3722 96 9376 7121 423 10317 1964 9465 5184 9024 5383 9076 1086 11012 8590 4862 8428 9256
48669,1254 4238 8208 6788 1497 9190 8424 5412 6925 146 9647 7706 5335 5557 2474 10904 963 9636
49000,2474 10315 3958 3020 7199 2386 4341 11159 11195 9702 2643 10051 8512 2821 10305 6909 4311 8208
49038,540 10317 4397 11140 10073 5398 11195 4499 7121 3722 8431 3123 2885 9376 2211 10763 7817 9816
49319,4397 6746 6643 6491 540 2101 9376 5994 5739 340 5166 2922 9245 9207 7121 9890 10927 5285
50057,5557 4748 1497 10073 1015 9714 7588 1086 6603 3639 3451 423 5764 8473 11140 8746 8983 1818
51364,10255 10317 6079 7817 5189 10600 6962 3879 10763 6999 5386 1539 10020 2211 10940 11140 540 6119
51795,11157 1276 3251 5412 3935 9458 982 11193 2474 4003 5474 1736 3937 9688 6226 9873 3043 2634
52317,10247 5071 1888 2474 963 981 1495 8151 9647 6989 4609 2126 10600 10223 5189 6079 4498 661
52326,2474 5412 10909 146 8208 6925 10315 694 8424 6684 7536 9636 6226 2386 7706 1497 3935 180
52364,11157 5412 2474 3935 1276 11013 3251 4003 6226 8208 10909 9458 9873 1254 6925 146 10315 982
52481,6491 5166 6310 4397 2922 4638 9072 1387 6643 540 3738 8760 9245 9890 6746 11195 2885 5420
53300,1387 6746 3497 10940 9890 6643 6491 4397 3838 4748 9072 4638 1037 9913 9024 4541 10255 8639
54076,8106 9388 4169 2474 4341 6925 5412 9873 1092 2552 3958 2783 8673 1254 6788 634 146 8316
54193,2630 7621 10648 6497 5413 6407 6424 5068 9040 8428 3429 2786 4590 8992 1875 10404 2798 590
54624,963 6788 1910 8807 9647 6962 5745 1964 2885 1264 976 2398 8151 11195 11005 10896 7322 7942
55644,8106 2474 2122 9766 2747 6925 10385 3351 6909 6684 1677 10896 8705 3935 9647 8275 8424 3917
56496,2474 6788 9647 963 6925 8424 4609 10385 146 8208 10247 1888 4871 5335 8807 981 10991 5542
56887,9707 6310 958 6491 2885 581 1964 8439 9245 2847 7122 254 3275 9207 4638 9005 1951 7760
58388,5071 7318 2126 10247 3297 8151 2474 10255 6331 6079 981 2386 10460 1888 5618 1495 8330 9647
60548,5018 10082 9341 7978 3581 10940 2556 10255 7817 6091 3151 3497 8923 10600 3140 1539 7613 4748
