surveyId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1792,262,838,5557,10904,9555,6067,6603,3744,1018,1254,1092,5301,6611,5483,7906,5543,2492,3803,1015,9714,7006,7588,7571,8340,10073,9671
3256,10600,6254,4207,4109,7706,5850,8477,8329,2951,3740,7621,2630,96,8180,129,2516,6277,5218,6475,8397,7532,1711,4842,6748,5173,4712
3855,10404,6407,6053,2630,4463,485,8806,1104,4686,2184,4,4551,5055,2762,2767,6747,96,6497,10772,6370,11012,4590,9040,5803,7706,5602
12842,7552,96,10317,9256,9376,8590,9024,9892,6497,5602,3722,1818,4105,11012,2777,1964,5068,7121,10990,5055,4955,423,10155,5383,9076,2211
15914,2474,8208,6788,8424,5412,1497,5335,146,9190,6925,7113,1888,9647,868,1539,6685,9669,8917,8705,3958,4609,4238,7706,7536,9388,4341
24920,53,976,2025,9647,8807,544,8428,8217,7666,651,7640,843,8949,7807,8573,9669,1424,7047,713,6788,6444,11054,10896,4871,4946,8587
31970,6407,2210,6877,5068,11242,2184,11012,5055,7471,3429,6254,4712,96,995,6805,10155,4590,2951,9863,8428,9256,4109,383,4207,10648,7061
32282,11012,423,5486,8375,3451,1964,7972,2693,4105,6555,2933,5804,4734,3722,1162,9256,9524,96,8818,4748,9024,380,9076,1995,6407,2799
36737,1014,11140,2514,8542,2145,4404,10281,2891,3451,9452,148,5543,7241,5557,9555,5901,1028,6374,2665,5301,6321,10382,8746,10522,6626,351
36869,5483,6603,7588,6611,8237,2492,8473,4532,838,10904,262,1066,3744,3451,8316,3419,2082,7006,6759,6968,2753,6067,1999,708,7580,5543
39795,4748,11140,694,10073,9024,8807,53,5832,2753,1818,1086,10317,9881,423,1793,7121,799,4397,7115,1162,5739,6143,569,2777,5124,6558
41048,8237,6603,3744,2753,1066,9714,7006,3451,6968,10904,146,11140,1999,2492,1086,6067,8473,838,2248,2110,5293,6002,10073,10143,5483,4532
42935,3696,8673,6788,6171,10904,7566,1539,1818,5823,9415,10073,5335,384,8098,4748,8542,1497,8751,1757,8208,7706,4105,6143,811,5218,2644
