surveyId,predictions
642,6962 963 10073 7942 2885 6788 8807 1964 2025 3177 843 3958 10684 11195 9647 8208 7999 5114 6183 9669 791 1889 9710 7957 3067
1792,262 3744 7588 7493 7571 7906 3419 6603 5301 6611 9555 5483 3451 462 5557 5543 1254 4755 9671 2492 3181 10775 3811 351 4258
3256,5997 3173 4109 96 4590 7621 2190 4842 4207 2630 6475 366 7330 9804 3722 6496 4790 5531 9020 7532 35 10600 1162 9040 2638
3855,10404 10772 2767 2184 4590 6407 9040 4582 3856 4 6053 10077 9456 6712 4434 11241 9256 6090 3211 4463 8806 6497 6465 7471 5055
4889,10600 10255 5189 6999 6962 9341 7978 10940 651 9024 2025 10317 2961 2211 8428 7706 53 7817 5900 391 1539 8746 661 10223 843
5884,6962 963 2025 7942 843 7999 53 1964 7957 10073 10600 8807 9647 7760 9669 8151 2885 6788 5114 10684 7807 6183 6989 3958 3067
6955,1162 5557 10522 10073 7571 1254 7072 8542 9555 9146 783 8412 2145 10281 8746 9442 351 8770 462 7748 2891 11140 5901 9636 7926
8956,6962 2025 10600 963 8428 7999 7807 7957 843 8151 5189 7760 53 4483 10223 1889 7942 5900 6331 651 5115 9669 10255 5071 1964
9037,1951 10274 3958 2885 3123 6491 2922 433 4898 9816 5739 5420 1170 6643 7227 11195 822 11140 643 6746 4493 6915 6900 8908 10024
9537,963 2474 6788 4238 5335 9647 694 4609 9190 5542 53 1276 544 1986 8208 7788 146 10247 10991 9858 8424 8807 9669 10385 10904
11594,254 1964 6310 9072 9707 4638 1951 958 540 4492 9816 8439 7122 10274 4499 643 340 11195 8124 2955 3738 2922 300 581 3275
11849,1912 3125 8921 8391 1176 5743 9119 5907 6141 7199 10947 10073 11159 6152 10051 1195 3438 7748 4404 2386 9458 476 5982 1519 2722
12019,540 254 11195 9816 4499 10274 9465 9072 3722 11140 10317 7121 9376 6310 6643 8124 1964 4397 643 4638 3275 6915 7880 423 10024
12436,10317 540 254 2211 11140 10763 9465 3722 7817 4397 3879 9376 9816 10255 4499 10020 6903 6310 5189 8747 249 8746 6962 10223 6079
12705,4397 10112 3123 5040 8818 1761 2101 8431 1018 6746 1037 10940 3375 3214 11140 9341 7450 8760 5398 4854 5980 4499 4734 2961 6903
12842,9256 5068 96 6497 7552 5804 6407 8428 2184 6919 8714 2647 9024 1874 423 10317 3722 11012 5055 10990 8949 5073 6903 7471 4105
13429,4659 9877 11240 11125 2715 5203 10347 1531 9513 4773 1300 29 11222 8661 7655 1000 2492 245 1736 9820 5876 1176 982 7961 6529
15914,6788 8770 5412 2474 8424 9190 1254 963 4238 6689 8208 5335 8573 4609 9647 146 1497 9636 6925 6685 7862 5542 694 544 4871
16550,3361 540 3275 6079 3722 10113 6310 1180 1387 254 9072 9024 4638 8747 581 4499 6491 7566 7880 10317 10223 11140 10474 7808 4077
18511,7540 2665 3125 1912 6707 1903 3438 8921 3278 6141 6836 11207 2722 4087 10510 3893 5120 11140 10947 7054 4404 1718 8339 5743 10051
18734,10073 3438 11207 1912 3893 11195 8921 1903 11123 7540 5665 3109 3958 10051 10899 2010 3387 6707 9714 11140 4628 4701 74 7748 8885
19026,3738 581 9072 10223 6079 10113 2922 1910 6491 6848 254 1387 4638 2308 6643 10218 7808 1964 822 5374 7661 5166 9024 1716 7227
21203,10223 6079 6962 2025 6331 10317 254 7760 10600 6989 5900 10255 4483 540 6559 581 10113 7817 2885 1539 1716 3067 1910 9493 5071
21641,7817 10255 10600 10020 3879 10763 10317 5018 10940 3835 6079 6962 5892 2163 1539 5189 10082 6989 2211 3374 5829 10950 5900 2753 3476
21906,4238 1254 3043 5412 5969 11120 1539 7706 9190 2120 5557 10946 9636 1497 3374 963 8542 10953 10364 7395 6542 8784 9541 3696 1882
22102,4397 4638 6310 540 7121 8431 9245 9072 10024 11195 4499 2922 340 9707 8760 1964 9376 7880 6491 9005 8284 8747 9465 4492 254
23717,4397 1018 10073 8818 11140 4854 5398 8746 10899 8632 6437 4628 7536 10998 8431 10881 6707 3722 6915 9714 9636 5739 2211 3360 6002
24689,254 1964 4638 9072 4499 7808 6310 2262 8639 7760 4492 4397 9707 7122 3294 540 1180 1951 1715 581 3275 8439 9024 2885 10113
24920,53 963 7640 8807 6708 9669 3597 2025 10896 8428 6788 843 5551 9028 7999 544 2398 8949 8573 3792 5542 1707 976 10073 2142
25437,2474 5412 8151 10909 8208 10247 6925 6684 3935 7536 9647 10315 4871 7788 868 3020 146 981 4609 694 6331 5071 3177 10385 8424
26098,1300 9877 5203 1692 8489 8027 2926 5876 9565 1531 3466 7090 5980 5799 4659 3837 9674 8635 1959 245 11240 2173 5907 5868 6491
26651,9341 10317 8818 8746 540 2961 9376 6999 4397 4499 10600 9892 11140 890 7817 9465 9024 6903 6119 2211 5189 254 6915 3722 6962
27551,8818 4397 10317 4499 10073 9881 6962 10600 11140 9341 890 540 8208 9710 7739 1018 8746 1086 9024 2556 2753 7817 4734 6999 3067
27567,1221 1062 9572 4029 10520 7182 5537 6913 9458 1736 3376 1176 10909 3669 4477 6006 11163 6723 8435 6235 5130 7565 476 6039 11157
30973,8818 4397 9341 11140 10317 8746 4499 10600 540 10073 6962 890 9881 1018 8208 7817 10255 2961 2211 9710 9465 8431 10940 4734 7739
31970,10180 5068 2184 6497 5055 8992 4157 8397 4590 2951 6254 7918 6407 8164 4109 2630 2798 485 6788 590 6424 9040 6748 10648 11241
32178,6491 6746 4397 1964 1951 540 9207 6310 9245 2922 5739 6643 4638 254 340 10927 2885 11195 2101 9816 4898 9005 8760 822 10113
32282,9524 5486 2184 5494 2799 9253 9537 2933 4112 8544 7918 1711 7895 8375 11012 380 8567 1216 3451 8782 8806 6465 7972 6555 6498
32525,540 254 6310 4397 4499 1964 4638 7121 9707 9024 3722 9005 10317 340 7122 9341 10024 9072 9465 11140 8747 478 9816 7739 3275
