surveyId,predictions
642,4499 540 6310 10073 4397 254 2753 8818 843 1545 6183 8208 6962 10255 2885 10317 1889 7760 11140 8746 9816 3958 2556 581 6848
1792,3419 3744 262 11115 838 7493 3451 9555 2492 5543 5483 5557 7571 10904 1254 1668 2248 4258 4755 7588 6603 5301 3181 6611 8340
3256,10600 4842 6905 4551 10255 901 8307 9826 4492 9892 5997 7706 8428 4790 3581 7532 4775 2336 2025 5148 10427 9434 339 703 4638
3855,10404 4590 6407 3211 11012 7471 2184 10772 6053 4 7532 9256 2587 9040 2762 651 10600 2767 6497 10255 6090 96 10427 460 7706
4889,10600 6962 10255 4499 10317 6999 2025 540 10223 254 5189 9024 4397 9341 2211 6310 7760 8818 3722 53 8428 7817 2961 8746 661
5884,540 4499 6310 254 10073 2885 1545 4397 2753 5739 7760 6183 8818 3958 8208 581 6962 6848 843 9816 10317 9710 3123 11140 1889
6955,1162 10450 7926 7072 9146 9480 6321 1045 8412 821 4924 5557 9442 9452 115 10811 2019 7907 8421 5185 7012 6175 7080 3429 8806
8956,540 254 4397 4499 6310 9024 10317 4638 7122 8818 11140 3275 10255 4492 9707 1964 581 9072 10600 8439 9341 9816 2885 9376 8760
9037,10763 3318 11140 3275 423 9816 9376 540 7121 9465 3722 2211 9311 10073 5520 10024 6915 10899 4397 581 3476 10274 433 822 6643
9537,2474 6788 9647 146 8208 1276 694 5335 9190 10385 6925 963 8424 53 544 8807 7536 10991 10247 4238 868 1986 7788 4609 8549
11594,254 540 6310 2885 4499 9816 10317 300 11140 8818 1964 9707 4397 958 9341 10073 1951 5739 9072 3722 11195 3275 8746 9881 581
11849,476 11193 6836 10073 9572 7199 9458 11159 6039 2643 4003 3125 2634 4349 3935 9119 2702 11157 6909 4029 10822 3958 3464 6874 7212
12019,6079 5386 10255 1539 10223 10218 8747 7978 1180 6962 10600 10317 7333 3427 254 6331 3334 5189 7670 8258 9734 1387 2025 896 3380
12436,6079 5386 10255 1539 10223 10218 8747 7978 1180 6962 10600 10317 7333 3427 254 6331 3334 5189 7670 8258 9734 1387 2025 896 3380
12705,4397 540 6643 6746 8431 6491 4541 2101 254 623 3375 9376 11140 4499 9816 8818 3123 5285 6915 6310 7121 4854 5980 5739 10317
12842,7552 96 10317 3722 8428 9076 9024 1818 9892 2211 4748 9376 8590 651 7121 249 10255 1964 1288 10763 11140 8949 254 5189 423
13429,9877 4659 2715 11240 5203 7655 6039 1736 1300 11193 1531 10347 9572 2421 29 11125 1922 4773 5016 2926 1000 5876 6529 9458 9820
15914,963 9190 6788 1539 4238 5542 8208 8573 5335 9647 6685 2474 6689 1497 6384 1254 799 5412 4609 3043 8424 6925 5146 1888 7706
16550,6079 10600 1539 10255 7760 6962 5900 254 10223 2025 6989 10317 4483 6331 5386 424 540 10113 10763 6491 2885 3427 7817 3361 10020
18511,11193 7199 476 4003 6039 9572 4349 3958 9458 11159 3125 3935 10073 9119 10822 2474 8391 3508 5412 2386 1304 11157 6874 5743 6836
18734,11193 7199 476 4003 6039 9572 4349 3958 9458 11159 3125 3935 10073 9119 10822 2474 8391 3508 5412 2386 1304 11157 6874 5743 6836
19026,10223 6079 3738 581 10113 5374 1716 2885 1910 7617 5166 2922 6491 4735 822 9072 11195 6848 254 6643 2308 10218 9816 2823 6310
