surveyId,predictions
642,963 8807 6962 10073 843 1964 5114 2025 10684 4483 7942 9669 7999 6788 791 7824 2885 9647 7760 6183 1424 8208 1889 4397 11195
1792,5543 462 3744 11092 7571 2488 9158 3476 3464 7748 1014 1176 8149 5018 8425 4659 3125 5220 2492 9820 10629 7493 3451 10127 3559
3256,11012 10404 9256 6407 4590 5055 3211 7532 96 2184 8806 2644 6497 2587 3197 6053 10828 10600 9660 2767 8428 8743 6405 3073 423
3855,10404 8428 2587 7532 7706 10600 5317 4590 96 9456 6053 10772 7552 6407 10255 4551 6405 2184 9660 790 4109 5055 4337 2767 4582
4889,10600 10255 651 6999 10940 7978 5189 6962 1539 10317 9341 5900 9024 7566 3067 661 7613 2961 2025 843 540 4638 6079 7817 6989
5884,6962 10600 843 963 6989 2025 1539 53 7706 7760 10073 1889 6331 10223 9669 5189 661 5900 10255 10684 10317 6999 8807 8428 8151
6955,10948 1162 3977 1254 7926 10494 74 2753 6175 10746 355 9442 6626 4758 8542 9934 1291 7990 10073 11140 10281 2665 8746 7571 9126
8956,6962 1964 10073 843 10317 540 4397 10600 8208 8431 1889 3067 4499 2025 6183 6999 1086 4854 254 9669 7942 7739 11140 3722 5189
9037,822 9069 10024 6746 2922 10113 11140 4628 1951 5739 249 1858 8747 3738 9816 167 10274 2703 1223 10474 3161 9207 7121 10927 9311
9537,2474 9190 6925 5335 4238 146 8208 6788 4609 9647 10991 9873 8424 7788 7536 1888 8917 8673 10385 8770 5557 1986 10664 868 5412
11594,6310 254 581 4492 7122 9072 3275 540 9707 8439 340 4499 9630 2847 9005 5928 2922 10024 11078 4638 7880 8639 2955 6950 958
11849,7118 1894 4519 3125 7054 5016 7199 11193 6039 2421 6141 2643 7749 4404 10289 2634 10166 1458 1903 6491 9572 2665 10073 1176 1160
12019,9816 11195 254 10969 3123 169 540 9580 8124 10317 9072 1951 4499 6643 10274 2101 1170 6746 9376 9207 10073 2684 2885 8439 1110
12436,10317 3879 4397 10763 8818 2211 2753 9923 7817 5218 1545 1038 540 10020 1037 6999 10255 3123 10600 9892 254 8746 5189 6091 8431
12705,4397 3375 6491 8431 6903 540 4027 9376 10940 4748 1761 6643 9465 6746 5980 5285 9341 423 4854 8818 11140 6728 4541 7978 7450
12842,6497 5073 8743 5804 6498 96 9256 8281 10317 1874 6407 455 2644 2647 5184 10231 11012 7768 8428 1964 10600 5055 4862 5454 9024
13429,4659 2940 11125 9877 1922 2715 2282 10822 1300 3322 29 1176 11240 9820 5203 10909 5876 1531 1000 10347 7655 4773 262 5016 669
15914,146 694 10305 9190 1497 557 5412 7536 6925 8208 10315 2386 8424 2474 3020 10073 9647 5557 1254 9261 4748 6883 7288 9714 9636
16550,10113 254 3361 581 6491 1180 9072 3738 1910 822 540 6079 10223 4492 10024 1387 3275 8639 6848 2922 6643 5384 10474 6310 4638
18511,9353 812 3278 7540 7054 6707 3747 4628 8154 2311 2608 2101 340 1753 9977 5994 1195 3438 11187 4349 8287 5120 10097 9714 423
18734,6250 5882 9714 3438 10822 2101 2811 3958 11195 6836 3109 6560 8654 4701 7644 1912 7199 6915 11140 10899 2643 3893 4087 8885 8904
19026,6079 6491 1387 5384 9024 10113 10218 10223 3497 581 10600 9072 1715 1180 6848 10255 8639 9207 4638 1539 6643 3838 6989 4397 8747
21203,10223 6962 6079 9493 2025 6989 10600 3067 1888 5071 5900 8428 6331 1795 1539 5189 2474 9647 10073 963 7760 53 10317 10247 8151
21641,10255 10020 7817 10600 10763 10317 2163 10940 2488 5018 96 5189 8923 5892 6119 3879 5900 6999 6079 391 8746 4513 10082 2211 3835
21906,9412 6874 4530 2370 4431 10844 9126 3464 876 1236 10073 1162 9541 1882 9513 8555 4229 9636 4184 51 7576 1254 3043 3696 10904
22102,2101 6746 6491 5737 6950 9005 254 340 5994 9207 4397 5166 10927 7121 1214 5739 6643 9816 10024 3838 1951 3161 9273 540 9376
23717,4397 10073 8818 11140 4499 9341 1018 5398 10317 9710 540 8746 7536 3438 2211 5760 3722 1525 9714 4854 9636 4628 5739 9881 890
24689,254 4492 7122 6310 4638 9072 6643 3275 1964 4499 4397 10218 7760 7808 2262 340 581 8639 9005 2009 6950 11078 6900 540 10474
24920,963 53 2398 7640 5542 11178 5551 9858 1707 544 4946 8807 9669 10896 2025 9028 11176 8428 3792 7999 4238 694 10367 7322 3597
25437,2474 8208 9261 5335 7971 9873 6788 10315 8807 9647 6925 868 3457 9388 9636 9190 4609 3177 10664 10684 8424 4238 4854 146 7536
26098,1531 11243 5203 5980 5799 2926 7090 2683 6491 2075 9877 669 11240 2243 8027 6643 9674 5876 1300 8635 2173 6117 4659 1680 2697
26651,8818 9341 10600 8746 4499 10255 11140 10940 7817 2211 4397 6999 5189 10317 8431 7706 9376 890 540 9024 3722 2961 8428 2556 1018
27551,581 6310 9707 478 540 4499 4397 8439 254 2885 3275 8431 7739 9816 3958 9005 11195 9072 10317 7760 8208 9465 8760 1964 7566
27567,1176 10073 1062 2243 4029 6962 3488 4349 5889 2291 2556 11140 3669 7748 3984 7318 3140 1014 6915 2474 8785 4854 9572 1736 10909
30973,10073 2885 10684 8807 4397 8654 10317 3958 5398 11195 540 8431 6962 3177 8818 9465 9710 3885 3123 1545 4499 3067 8208 7644 4854
31970,7706 2184 5068 96 5055 8428 4207 8329 4590 6919 10317 651 10600 7818 7532 5850 4 7552 5317 6171 7471 8164 10255 3722 6497
32178,9816 540 11195 9465 7121 9376 340 9207 254 6746 423 6310 822 3738 5149 10024 8431 2885 6643 6491 2101 4854 4397 4499 9707
32282,8229 9024 4734 5383 4112 8818 9524 6310 4748 4105 2723 728 3037 7147 9881 1525 6491 958 4707 2921 890 3510 8632 5149 2885
32525,9005 540 4499 4397 6310 10024 254 3275 9707 478 8431 11195 7121 8760 1964 2885 9816 9465 7122 3161 5739 9024 11140 5149 9245
33904,963 5189 10600 5114 7957 7999 2025 7807 7760 8807 7566 791 3838 53 843 254 6989 1964 4483 5071 976 6962 4102 7942 10268
33921,10255 9024 6491 5386 6119 1180 3497 1214 10218 6079 7978 3722 8747 1387 6643 96 3275 6746 2211 10940 4397 10223 7333 4541 9341
34778,2474 5412 10305 10315 1888 1276 2386 4498 8512 146 981 9261 8424 5398 1525 2684 10268 11157 8208 6685 5071 3935 5474 11013 540
36216,8124 9580 6643 5520 9816 1951 254 6900 1716 581 9207 433 9069 2847 3100 11195 8908 3123 4279 6491 2885 11078 6746 6915 6633
36737,1028 8542 11140 4901 2373 1254 2891 7241 2484 2514 8746 4748 8219 9795 351 3987 5543 10281 9555 10317 1051 1162 8108 8420 10463
36869,10904 4748 10762 8508 8917 1139 5149 10073 10305 3838 846 5398 146 6925 7040 5557 9261 8473 868 2776 540 7113 8431 6962 1254
38125,963 6962 8807 2025 4483 7999 843 8151 7942 9647 10684 5114 53 7807 10600 10073 9669 6331 1964 10223 7957 6788 7824 7760 1889
38812,6925 146 7536 2474 9647 8208 10247 694 5412 544 9873 9636 10385 4609 9190 10315 2747 10904 9388 6684 9261 5335 868 8424 1677
39525,963 7999 7957 2025 7807 10600 7760 53 8807 5189 5114 791 5071 4483 843 6962 5932 7942 7566 4008 9669 3067 8151 509 10073
39795,6571 53 1131 10315 8084 2777 3161 5704 5445 569 10896 5832 8441 694 8807 1654 976 39 544 5166 9261 6788 843 1677 2810
40447,8746 7817 10317 2211 9341 8818 10082 4499 1038 540 2961 3722 10255 6999 4397 6962 11140 10600 2753 661 7739 3067 9881 8923 10281
40597,4499 4397 540 3722 11140 10317 8818 7739 1086 10073 9881 2211 9341 7121 8760 6962 8431 890 5739 6097 7817 8746 10600 3161 4748
40845,262 9341 10940 8746 10082 1018 3722 7817 11140 4397 8818 8149 9881 890 6962 10317 5398 2556 1539 10073 8431 907 4748 540 661
41048,6603 7588 5557 9714 3438 8983 7871 4748 1018 601 10904 6002 3451 3639 262 2949 10073 2753 8473 8746 423 5543 9555 1051 1086
41209,963 7957 10600 6962 5189 8151 5114 7999 2025 7807 7942 8807 4483 791 10317 6989 10268 7760 1889 4871 9669 1472 10684 9892 10073
41369,2243 9341 2173 10940 9877 3837 4397 1176 3375 4349 262 1300 1162 5980 4748 2949 5018 8027 5203 1037 5040 8760 245 10082 1531
41476,963 6788 8807 8512 1964 5114 10896 2398 9669 976 1264 5745 6962 7999 7942 791 10073 1707 7760 1888 2142 10684 9647 843 6557
41725,3123 4397 11140 9710 8818 2885 10073 4499 5398 6746 5739 8431 2101 907 10317 8654 1018 10514 7121 9376 4404 7817 7739 540 3958
42000,5203 10347 1176 1531 8661 262 2715 9547 114 5876 7655 10822 5868 2243 4659 245 10763 8737 11222 6548 9261 4773 4114 7008 9877
42935,6920 53 10073 6002 9028 423 8573 5149 4854 7407 2490 6883 1226 544 8807 1497 7746 1818 7121 8542 4331 8983 963 5542 4748
44791,10600 10255 6079 651 6962 9024 10223 7978 6999 10940 7760 1539 8428 4638 7706 5189 2025 2587 6989 10317 6331 53 5115 5384 5386
46094,10073 3958 7748 694 2386 3888 10268 2474 10247 10762 2753 661 5739 4498 3123 3438 5071 1525 8208 1757 1497 5420 11140 2885 5412
47008,2025 53 8807 7121 10073 10317 963 9669 5932 11195 1805 10867 8573 8590 976 7999 249 4862 7807 4483 1964 7566 8818 6444 4397
48669,5542 10664 963 2783 8503 1497 10909 11120 5557 6788 9647 5969 8807 5218 2474 2564 5071 544 10247 6689 8340 5335 1254 9317 4871
49000,2474 8208 3020 4814 5412 146 3177 10315 2821 9458 8106 9261 2386 8847 8887 8424 269 6925 10684 11195 9647 10305 7536 2291 9714
49038,5739 3123 11195 10073 4499 433 540 8858 11054 3161 2885 9816 6962 9465 8760 9376 3958 10927 4397 6643 1086 10969 5737 5398 5149
49319,6491 6643 4397 340 9005 11195 6310 958 9245 2922 2262 6950 540 9707 254 8284 5928 9072 7880 581 1455 3275 8431 9630 9207
50057,6603 4748 5557 9714 7588 423 7871 3639 601 3438 8806 9376 5293 10904 8983 3451 2145 5149 9317 3236 1018 1497 8746 8316 9555
51364,6079 10255 10317 9024 5386 6119 5189 6999 6903 6962 6551 9376 10763 8818 9892 7817 3838 8747 3879 249 649 254 4397 4707 540
51795,3669 11157 10255 6874 6235 3865 5721 5618 10460 5474 6039 9458 5412 3993 3894 2421 1770 9572 5249 2634 1254 661 10520 7565 5130
52317,6788 2474 2025 9669 7760 1888 976 8208 9647 10896 963 7322 10247 9028 254 1964 4871 4483 11195 7999 3177 1677 8151 10274 8807
52326,2474 8208 146 9647 7536 10247 6925 10315 694 4871 6788 10385 868 8424 10909 7788 3935 6684 6909 2386 9636 8151 3020 1888 5412
52364,5412 11157 1736 1254 11013 3935 3894 3937 9458 2539 3043 1276 982 2474 11193 10073 51 2756 9873 146 5557 5249 4003 3251 9688
52481,6491 5166 9890 9072 6643 5416 2922 3738 5980 7207 9922 1716 5994 822 1924 3838 5739 5420 2885 10113 6848 4541 11195 6310 2308
53300,6491 2922 6643 581 5285 9922 9890 4190 6746 1214 340 5242 1910 1924 6551 7529 7295 3135 822 5166 4541 4279 6313 5980 5348
54076,9873 9388 3958 4169 7559 4341 887 10525 4758 5181 3096 2949 8431 8106 10051 10595 3123 9261 2783 6358 3230 2569 320 8961 6772
54193,8458 10180 8164 4551 6497 4686 2630 6748 9054 8992 9256 10404 9040 8397 485 6424 5055 7955 2798 7621 3211 10648 2210 6168 6407
54624,6788 8807 963 9647 2142 10684 2885 2398 10896 7824 5745 1910 3979 9669 3177 6962 2474 976 7322 1964 868 11005 4483 10385 8208
55644,8106 2474 9766 6925 8208 9028 8549 3351 3935 8424 2122 1677 10909 2386 146 5412 694 6684 9261 6909 2747 9647 11005 10427 4409
56496,8208 2474 9647 6788 4871 146 10909 9261 8424 5071 1888 7536 2386 5412 7706 1497 981 10427 6388 6925 694 10315 3457 963 8151
56887,6491 9707 2885 10113 958 581 1951 1964 9245 6310 4447 5739 3958 7227 5166 9207 6848 254 4397 3161 8439 822 6746 4638 8760
58388,7318 254 4077 540 6310 4638 4397 1964 9024 3722 6079 9816 3275 10024 8431 6643 958 4499 7121 8760 8330 581 6331 11195 10317
60548,5018 7978 3581 10255 10082 2556 7817 10940 6091 3140 7706 3714 9341 8923 3803 9877 3722 7613 3835 3497 4397 1539 5218 114 1795
60731,2823 7333 10218 7760 896 6999 4492 4638 10621 10600 4397 7978 1180 6079 96 3879 254 7670 5386 10317 5071 5189 7566 7687 10255
61092,4758 3177 8208 10073 2921 6136 9881 3123 1018 7990 7536 6883 6788 1404 2474 5398 2753 8632 5149 3958 7703 6772 5412 4734 10315
61334,6491 6643 9890 8690 4397 5980 3875 4541 3123 5166 5285 5739 5420 6313 5994 2922 3214 3375 6746 2101 6551 10239 5242 3614 623
62643,2885 11195 9816 10927 9005 2101 540 3958 433 6915 9376 9465 3123 6643 9273 10073 1170 7121 5739 10969 8858 5149 8431 1964 1951
62910,254 8639 10223 581 7760 1964 4638 6079 6962 2025 7808 1715 4483 1180 9072 4492 10113 1910 3294 6643 540 5384 6310 6848 5900
63918,1092 1015 5557 7588 3639 8237 6603 8806 5255 1018 6446 4748 7871 1497 5764 10953 3451 9957 6759 7435 12 10073 1254 9024 6611
64178,5071 2474 2386 8208 7536 9647 1888 10683 3935 10247 8151 5412 4871 6788 981 10315 146 6331 4498 10255 1495 8424 10385 661 1856
64913,3123 10317 3639 7817 10020 6331 10904 2753 8208 6962 1015 8811 2211 1024 4397 1018 3722 6079 7852 10763 868 3095 7040 11140 10587
66097,254 7760 1910 581 1893 10223 2025 1264 4483 976 6962 6848 9072 3738 6989 10113 1964 6491 6331 6079 8124 8151 540 1716 5374
67733,5412 9636 7536 1539 1276 5557 7706 9873 2474 5817 5398 11120 9190 3043 1254 661 10600 8208 8542 3345 11013 9541 5335 10305 8917
67998,9341 10317 10255 540 10600 7817 5189 8746 3067 2163 254 2211 6962 6989 11140 8818 2961 7566 6915 9024 9465 6903 4854 3722 1964
68018,11157 6874 6219 3669 2455 3251 10909 5071 9458 5474 10520 7868 7318 10411 4397 3464 8106 1736 11193 11120 1254 10073 3123 8340 5969
68034,7322 8858 9963 1780 3123 10048 1794 1015 9647 5739 9636 9028 6788 8811 10073 8807 3811 6002 2025 6331 2398 10315 963 4758 6989
69003,4499 10317 540 3067 4397 3123 10073 6962 2885 3958 8208 254 5739 10600 9710 6310 8760 6999 7739 11195 7121 5900 11140 7817 3161
69099,2474 9766 5173 7862 2783 6384 2122 6909 5022 9647 8106 8512 10991 10956 799 6612 11176 10367 1498 8991 7322 4171 2747 5542 963
70350,2733 4748 2891 10073 694 1018 2703 423 3533 4628 8542 10927 3747 3236 11140 8431 10468 1404 7748 10315 10881 1818 5398 8983 5149
70662,6999 10600 10255 10317 96 4499 2211 2961 5189 9024 7817 8746 6962 10940 540 9341 391 8818 4397 8431 8428 3067 651 3913 3722
72103,2474 2885 7322 6788 9647 8208 7536 3958 2386 10315 3177 10684 9261 3581 1910 9636 976 146 7113 868 1888 8151 9388 6925 6962
72786,2474 8424 6925 8208 6684 1539 146 11120 5412 7410 9190 963 10247 4871 7536 694 868 10385 8807 6079 2756 7788 10073 53 10909
72854,540 9465 9341 10317 4397 6915 4499 9376 7817 9816 8818 8746 10073 8431 254 2101 11140 7739 1964 2211 4854 7121 3123 11195 10969
73272,5016 3669 1176 5907 2075 3464 11125 7318 6117 4477 1770 10520 2055 694 1195 6039 5071 8027 6874 9642 4567 7955 10073 6836 857
73905,5018 7978 3581 10255 9341 7817 10082 7706 2556 8923 10940 10600 6962 4397 10020 1539 5218 7613 3835 5040 5189 6091 3140 2961 2163
