surveyId,predictions
642,10073 4397 8818 4499 10247 11140 540 10317 1086 4854 8746 9341 963 8151 8208 9465 9647 3722 2885 3067 7536 9881 7322 1888 661
1792,1254 5543 10904 838 10073 5557 462 4755 1092 6002 8340 7571 3181 262 3419 8237 6067 7493 146 1018 634 6925 9881 3639 3811
3256,8782 1216 2933 11012 2184 2693 8743 4109 6497 2799 5804 3429 7706 6805 6555 7471 5486 9256 8806 7532 4712 2767 5055 423 1162
3855,6497 7471 11012 9256 4590 2630 2184 10404 8806 10648 4686 3429 7532 8992 5055 6424 8477 3211 10155 9040 4267 96 6407 4109 7621
4889,10255 10600 10223 7978 6079 10940 5386 6962 4492 10218 10317 1539 5189 4638 6999 2025 651 2823 53 7760 254 9341 9024 5384 4499
5884,1964 963 7760 254 6962 6310 10223 843 8151 4483 1910 10600 7999 8807 2025 9072 581 9707 540 53 1264 2885 7957 7942 9816
6955,10255 5412 7706 1276 10940 10909 10600 3043 3497 3581 10946 10317 8746 11157 5018 1539 2961 6226 7978 9341 6874 7817 4530 4238 2211
8956,963 254 1964 10600 843 10223 53 7760 6310 4483 2025 9072 4492 1910 7999 581 10631 6962 9707 8428 2885 9816 540 8151 8807
9037,11140 6915 11195 10073 4397 9816 3123 433 10899 6643 3318 5398 4628 540 5739 8431 1018 8818 7121 2101 9465 423 3969 822 9376
9537,9647 146 2474 10073 694 8208 8424 9261 8106 10315 6788 544 4748 4238 5335 5412 1677 1276 6925 8542 2783 5832 9190 8807 1254
11594,540 254 4499 2885 4397 9816 9005 10073 9707 1964 11140 6310 7121 10317 8818 5739 11195 9465 8746 9376 2101 6643 9341 6915 581
11849,7968 8243 10893 5907 7315 10558 3125 1712 5868 6855 7199 9696 7644 1912 1176 10910 7914 10506 1894 6560 4755 9565 1195 6647 6836
12019,5386 6079 254 10223 540 581 3738 6643 1387 9072 4492 10317 6491 10218 10255 8258 1715 9816 340 1180 3275 7760 4499 4638 8124
