surveyId,predictions
642,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
1792,262 838 1015 1018 1092 1254 1497 3451 3639 3744 4748 5543 5557 6603 6611 7571 7588 7871 8237 8316 8746 8806 9714 10073 10904
3256,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
3855,963 1677 1736 2386 2474 2715 3125 3166 4659 5474 5542 6039 6235 6874 7318 7748 8106 9458 9572 9877 10073 10909 11157 11193 11240
4889,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
5884,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
6955,963 1677 1736 2386 2474 2715 3125 3166 4659 5474 5542 6039 6235 6874 7318 7748 8106 9458 9572 9877 10073 10909 11157 11193 11240
8956,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
9037,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
9537,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
11594,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
11849,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
12019,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
12436,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
12705,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
12842,469 540 559 694 1497 1705 1818 2753 4734 4748 5398 6079 6962 7040 7536 7972 8208 8535 8542 8632 8746 9714 10073 10392 11140
13429,963 1677 1736 2386 2474 2715 3125 3166 4659 5474 5542 6039 6235 6874 7318 7748 8106 9458 9572 9877 10073 10909 11157 11193 11240
15914,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
16550,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
18511,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
18734,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
19026,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
21203,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
21641,254 540 1539 2025 2885 3722 4397 4499 5386 6079 6491 6643 6962 6989 7817 9376 9465 9816 10223 10255 10317 10600 10763 11140 11195
21906,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
22102,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
23717,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
24689,254 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6962 8431 8818 9024 9072 9341 9707 9816 10073 10255 10317 10600 11140 11195
24920,146 963 981 1888 2474 4498 4609 4871 5071 5412 6684 6788 6925 6989 7536 8151 8208 8424 9647 10073 10247 10315 10385 10600 10896
