surveyId,predictions
642,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
1792,0
3256,53 544 791 963 1677 2002 3661 4946 5022 5071 5542 6708 6980 7999 8106 8428 8573 8705 8807 9647 9766 10047 10800 10896 11120
3855,53 423 963 1162 2184 2474 2799 4109 4112 4734 5804 6407 6497 6498 6805 7742 8106 8428 8743 8806 8818 9256 10073 10404 11012
4889,254 540 958 963 976 1910 1964 2025 2142 2398 2885 4397 4483 4499 6310 6788 6962 7322 7999 8151 8807 9647 9707 9816 11195
5884,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
6955,783 1045 1162 1404 2145 5220 5451 5557 6321 7072 7571 7926 8412 8542 8580 9146 9442 9480 9880 10073 10231 10281 10450 10522 11140
8956,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
9037,433 963 1086 2025 2885 3958 3969 4397 4499 5398 5704 6153 6915 7121 7536 8208 9376 9465 9710 9714 9816 10073 10278 10899 11140
9537,53 146 544 694 963 1888 1986 2474 4238 4609 5335 5542 6788 6925 7788 7862 8208 8424 8807 9190 9647 9669 10247 10385 10991
11594,254 300 540 581 958 1910 1951 1964 2885 3161 3958 4397 4499 5739 6310 8439 9005 9072 9707 9816 10073 10113 10317 11140 11195
11849,476 1160 2386 2474 2643 3125 3251 3669 3935 4477 4530 5412 5474 6039 6152 6235 6669 7748 9458 9572 10073 10909 11140 11157 11193
12019,254 540 1180 1387 1539 3427 3722 4492 4499 4638 5386 6079 6331 6962 8747 9465 9816 10113 10218 10223 10255 10317 10474 10600 11195
12436,254 540 1180 1387 1539 3427 3722 4492 4499 4638 5386 6079 6331 6962 8747 9465 9816 10113 10218 10223 10255 10317 10474 10600 11195
12705,254 540 581 1964 2101 2885 3275 4397 4499 4638 4854 6310 6491 6643 6746 7121 7122 8431 8818 9005 9816 10317 10600 11140 11195
12842,96 419 540 1757 2110 2250 3361 3722 5068 6079 6491 7147 7552 8224 8409 8632 8747 9024 9072 9076 9376 9707 10024 10113 10317
13429,1000 1300 1531 1736 1922 2421 2634 2715 3935 4659 4773 5016 5203 6039 7655 8435 9458 9572 9877 10347 10909 11125 11157 11193 11240
15914,53 146 544 963 1888 2398 2474 2630 4238 4609 4871 5068 5335 5542 6497 6685 6788 8208 8424 8573 8807 9190 9647 9669 10247
16550,254 540 581 1180 1539 1545 3738 4013 4078 5018 5892 5900 6079 6551 6962 7760 9376 9811 10223 10249 10255 10317 10600 10778
18511,476 1160 2386 2474 2643 3125 3251 3669 3935 4477 4530 5412 5474 6039 6152 6235 6669 7748 9458 9572 10073 10909 11140 11157 11193
18734,476 1160 2386 2474 2643 3125 3251 3669 3935 4477 4530 5412 5474 6039 6152 6235 6669 7748 9458 9572 10073 10909 11140 11157 11193
19026,254 540 581 1018 1964 2101 2885 2922 3738 4397 4854 5398 5739 6491 6643 6746 8431 8818 9465 9816 10073 10317 10927 11140 11195
21203,254 540 581 1170 2025 2885 3361 4483 4492 4499 5900 6079 6310 6331 6491 6848 6962 6989 8258 9816 10024 10113 10218 10223 10255
21641,254 540 581 1180 1539 1545 3738 4013 4078 5018 5892 5900 6079 6551 6962 7760 9376 9811 10223 10249 10255 10317 10600 10778
21906,51 146 1254 1276 1473 1497 1539 2120 2386 2474 3043 3345 3374 3935 4238 4530 5412 6925 7706 8208 9190 9636 10909 11120 11157
22102,53 254 791 843 963 1964 2025 2823 3294 5114 5189 6079 6331 6962 6989 7760 7807 7942 7957 7999 8151 8807 10223 10317 10600
23717,540 1018 2885 3123 3722 4397 4499 5398 5704 5739 6491 6643 6707 6915 6962 7536 7748 8431 8746 8818 9341 10073 10317 10881 11140
24689,96 254 540 651 1964 3275 4397 4492 4499 4638 6079 6310 6999 7566 8746 8760 8818 9024 9072 9341 10255 10317 10600 10940 11140
24920,53 544 843 963 976 1707 2025 2398 2474 3792 4871 5542 5551 6708 6788 7640 7999 8428 8573 8807 9028 9647 9669 10247 10896
25437,146 694 981 1497 1888 2474 3020 3935 4609 4871 5071 5412 6331 6684 6909 6925 7536 8151 8208 8424 9647 10247 10315 10385 10909
26098,476 982 1276 1300 1304 1736 2386 2421 2474 2634 3251 3935 3958 4003 5412 6039 6874 9030 9458 9877 10305 10520 10909 11157 11193
26651,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
27551,254 540 581 1964 3275 4397 4492 4499 4638 6310 7121 7122 8431 8439 8818 9024 9072 9341 9465 9707 10255 10317 10600 11140 11195
27567,1062 1176 1221 1736 3376 3669 4029 4133 4406 4477 4621 4886 5130 5537 6006 6723 6913 7182 8140 8798 9458 9572 9743 10520 10909
30973,254 540 581 1964 3275 4397 4492 4499 4638 6310 7121 7122 8431 8439 8818 9024 9072 9341 9465 9707 10255 10317 10600 11140 11195
31970,53 146 544 963 1888 2398 2474 2630 4238 4609 4871 5068 5335 5542 6497 6685 6788 8208 8424 8573 8807 9190 9647 9669 10247
32178,540 1018 2885 3123 3722 4397 4499 5398 5704 5739 6491 6643 6707 6915 6962 7536 7748 8431 8746 8818 9341 10073 10317 10881 11140
32282,380 423 1086 1711 1964 2337 2799 3451 3722 4734 4748 4758 5149 5383 5486 7288 7566 7918 8782 8818 9024 9524 10073 10904 11012
32525,254 540 581 1964 3275 4397 4492 4499 4638 6310 7121 7122 8431 8439 8818 9024 9072 9341 9465 9707 10255 10317 10600 11140 11195
33904,53 254 791 843 963 1964 2025 2823 3294 5114 5189 6079 6331 6962 6989 7760 7807 7942 7957 7999 8151 8807 10223 10317 10600
33921,2055 2471 3375 3497 4397 4541 5242 5285 5519 5773 5980 6234 6491 6643 6728 6746 7315 7679 7790 8635 9674 10005 10239 10637 10731
34778,661 981 1276 1736 2474 2488 3251 3935 4003 4498 5071 5412 5474 6235 6788 8208 8792 9458 10255 10268 10460 10600 10711 11157 11193
36216,254 540 958 963 976 1910 1964 2025 2142 2398 2885 4397 4483 4499 6310 6788 6962 7322 7999 8151 8807 9647 9707 9816 11195
36737,148 351 1028 1051 1254 2145 2373 2665 2891 4404 4924 5212 5451 5543 5557 6321 7241 8542 9146 9452 9795 10231 10281 10382 11140
36869,477 1015 1051 1497 3451 3639 3744 4532 4748 5543 5557 6603 7006 7588 7871 8237 8316 8473 8542 8746 8983 9555 9714 9765 10143
38125,254 540 581 1964 2101 2885 3275 4397 4499 4638 4854 6310 6491 6643 6746 7121 7122 8431 8818 9005 9816 10317 10600 11140 11195
38812,146 694 963 2474 2747 4238 4609 4871 5335 6684 6788 6925 7536 7788 7862 8151 8208 8424 9190 9261 9647 10247 10315 10385 10896
39525,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
39795,249 423 694 1086 3236 4499 5804 6440 7115 7121 7617 7739 8590 8632 8760 8818 9024 9076 9376 9465 9816 10073 11054 11140 11195
40447,254 540 963 1910 1964 2142 2398 2885 4397 4499 6310 6643 6788 6962 6999 8807 9707 9816 10073 10223 10255 10317 10600 10896 11195
40597,254 540 958 963 976 1910 1964 2025 2142 2398 2885 4397 4483 4499 6310 6788 6962 7322 7999 8151 8807 9647 9707 9816 11195
40845,254 540 581 1964 3275 4397 4492 4499 4638 6310 7121 7122 8431 8439 8818 9024 9072 9341 9465 9707 10255 10317 10600 11140 11195
41048,477 1015 1051 1497 3451 3639 3744 4532 4748 5543 5557 6603 7006 7588 7871 8237 8316 8473 8542 8746 8983 9555 9714 9765 10143
41209,254 340 540 581 1964 2885 4397 4499 4638 6310 6491 6643 6746 7121 7122 9005 9376 9465 9707 9816 10073 10317 10600 11140 11195
41369,982 1276 1300 2386 2474 3251 3935 4003 4130 4659 5412 5876 6410 6855 7955 7968 8208 8661 9458 9513 9820 9877 10305 11157 11193
41476,254 540 963 976 1264 1951 1964 2142 2398 2885 4397 5739 5745 6310 6491 6788 6962 8512 8807 9669 9816 10073 10317 10896 11140
41725,254 540 581 1964 2101 2885 3275 4397 4499 4638 4854 6310 6491 6643 6746 7121 7122 8431 8818 9005 9816 10317 10600 11140 11195
42000,0
